Date,Birla Sun Life Advantage Fund,Birla Sun Life Dividend Yield Plus,Birla Sun Life Equity Fund,Birla Sun Life India GenNext Fund,Birla Sun Life Special Situations Fund,DSP BR Equity Fund,DSP BR Focus 25 Fund,DSP BR Opportunities Fund,DWS Investment Opportunity Fund,Franklin India Flexi Cap Fund,Franklin India High Growth Companies Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Core & Satellite Fund,HDFC Equity Fund,HDFC Growth Fund,HDFC Premier Multi-Cap Fund,HSBC India Opportunities Fund,ICICI Pru Dynamic Plan,ICICI Pru Exports and Other Services Fund,IDFC Classic Equity Fund Plan A,Kotak Select Focus Fund,L&T India Special Situations Fund,Mirae Asset India Opportunities Fund,PineBridge India Equity Fund Standard Plan,Principal Growth Fund,Reliance Equity Opportunities Fund,Reliance Growth Fund,Reliance Regular Savings Fund Equity,Reliance Top 200 Fund,Reliance Vision Fund,SBI Contra Fund,SBI Magnum Multicap Fund,SBI Magnum Multiplier Plus 93,SBI PSU Fund,Sundaram PSU Opportunities Fund,Tata Dividend Yield Fund,Tata Equity Opportunities Fund,Tata Equity P/E Fund,Tata Ethical Fund,Taurus Starshare,Templeton India Growth Fund,UTI-MNC Fund,UTI-Services Industries Fund
01-06-2008,135.24,48.16,220.88,17.96,9.14,11.79,,64.51,35.31,23.6,10.01,167.15,75.07,26.35,169.61,62.81,19.81,32.84,75.99,16.74,19.21,,14.09,10.65,10.15,54.21,22.43,353.64,22.21,10.57,211.84,46.83,16.73,62.09,,,22.88,74.35,35.78,89.47,51.52,92.11,36.21,51.03
01-07-2008,105.15,39.21,172.22,14.44,7.27,9.66,,51.5,28.09,18.74,7.89,132.92,62.06,21.03,138.42,51.61,16.07,26.9,62.49,13.07,15.81,,11.37,8.45,7.73,42.32,17.9,291.42,17.75,8.51,165.97,38.66,13.82,52.17,,,18.14,59.52,28.65,68.78,40.04,74.37,30.05,39.02
01-08-2008,118.2,43.84,188.61,15.94,7.97,10.6,,57.44,30.73,20.42,8.52,146.09,68.31,24.13,154.56,57.96,18.1,28.76,70.14,14.21,17.07,,12.61,9.47,8.78,46.29,19.88,322.7,19.76,9.65,185.42,41.72,14.63,55.98,,,20.19,64.64,31.53,74.36,45.75,80.76,33.12,44.45
01-09-2008,116.23,43.9,189.22,16.33,7.97,10.68,,57.08,30.47,20.58,8.64,149.86,70.22,24.39,159.23,58.99,18.47,28.45,71.3,14.08,16.78,,13.03,9.42,8.7,45.94,20.11,318.65,20.28,9.56,185.75,41.41,14.53,57.18,,,19.93,64.84,31.31,73.37,45.08,79.65,33.68,44.19
01-10-2008,105.42,41.82,170.79,15.33,7.16,9.74,,51.53,26.91,19.09,7.8,141.23,63.88,22.96,147.1,55.17,17.39,25.4,63.69,12.18,14.95,,11.78,8.38,7.79,39.98,17.89,283.29,17.96,8.77,168.6,37.4,13.13,52,,,17.69,56.23,27.61,63.59,38.02,68.76,31.07,39.3
01-11-2008,80.17,33.91,131.78,12.26,5.26,7.62,,39.83,20.01,14.62,5.89,109.08,47.59,16.27,110.32,42.28,12.33,19.41,48.43,8.84,11.95,,8.79,6.34,5.92,29.09,13.48,218.28,13.6,6.6,133.55,28.15,9.93,39.97,,,13.63,40.84,20.31,44.5,26.07,53.69,26.19,29.83
01-12-2008,74.02,33.82,120.52,11.88,5,7.18,,37.12,18.67,13.68,5.29,102.24,43.96,14.75,99.64,39.45,11.3,18.74,45.23,8.16,10.87,,7.98,5.84,5.41,25.76,12.56,197.33,12.11,6.17,126.49,26.55,8.99,36.15,,,12.49,36.19,18.73,40.85,23.01,48.58,24.48,27
01-01-2009,83.28,37.03,136.66,12.62,5.56,7.8,,41.09,21.01,15.48,6.09,113.8,48.89,17.2,114.52,42.37,13.06,20.43,52.34,9.27,12.02,,9.09,6.92,6.01,28.5,14.45,220.86,14.05,6.88,141.31,29.85,10.01,40.69,,,14.36,40.87,21.92,46.79,27.44,53.37,26.59,30.22
01-02-2009,75.67,35.84,124.15,11.88,5.16,7.55,,39.21,19.62,14.24,5.46,105.67,45.56,15.6,103.75,38.44,11.85,19.56,48.81,8.34,11.53,,7.85,6.26,5.69,27.46,12.91,202.78,12.81,6.63,130.5,28.4,9.28,38.11,,,13.45,36.96,20.15,43.79,24.78,50.45,26.08,27.9
01-03-2009,70.96,34.46,116.92,11.39,4.85,7.3,,38.06,19.04,13.52,5.15,101.12,43.34,14.78,98.16,36.43,11.3,18.8,46.81,7.72,11.12,,7.24,5.91,5.55,26.83,12.31,194.14,12.13,6.37,124.65,27.17,8.94,37.6,,,12.92,35.82,18.92,42.42,22.95,47.95,26.02,25.96
01-04-2009,77.91,35.97,127.07,11.93,5.2,7.7,,40.85,20.31,14.85,5.71,110.34,46.87,16.17,110.15,39.02,12.12,19.89,50.31,8.33,11.64,,7.96,6.64,6.04,28.72,13.67,210.51,13.71,6.96,136.35,30.12,9.77,40.71,,,14.1,38.82,21.32,47.5,25.2,54.95,27.49,27.77
01-05-2009,90.03,39.51,145.45,13.15,6.01,8.5,,45.78,22.57,17.04,6.59,123.73,53.01,18.58,127.1,44.13,13.81,21.99,56.8,9.75,13.06,,9.34,7.66,6.76,32.39,15.14,242.88,15.43,7.81,150.8,34.13,11.02,45.4,,,15.76,42.3,23.96,52.14,28.49,62.32,29.8,31.66
01-06-2009,126.53,52.92,199.35,16.21,8.21,11.33,,59,28.89,22.47,8.82,160.97,67.69,25.37,170.37,57.4,18.8,26.95,68.76,12.39,16.57,,13.17,10.52,8.76,40.32,20.26,331.49,21.83,9.96,201.03,45.69,14.34,59.61,,,19.84,57.88,31.59,69.07,43.65,81.1,35.63,40.56
01-07-2009,123.7,51.84,196.98,16.3,7.89,11.14,,59.06,28.63,22.51,8.85,156.04,69.98,25.2,174.85,57.76,18.81,27.15,69.74,12.53,16.37,,12.75,10.3,8.95,40.37,20.37,328.02,21.59,9.86,197.91,44.16,14.09,58.42,,,20.32,56.75,31.04,68.14,43.11,80.58,35.85,41.7
01-08-2009,129.8,56.97,210.22,17.54,8.37,11.94,,64.55,30.73,24.37,9.68,165.08,77.16,27.41,187.63,61.76,20.51,28.66,75.29,13.66,17.41,,13.66,11.25,9.77,43.58,22.14,351.49,23.11,10.57,213.27,48.3,15.2,63.28,,,22.52,63.08,34.84,78.33,44.42,89.13,40.03,44.79
01-09-2009,132.66,59.99,213.77,17.94,8.67,12.4,,65.32,31.24,24.63,9.9,168.66,77.99,28.15,190.9,62.64,20.91,28.95,77.78,13.89,17.76,,14.03,11.62,9.88,43.98,22.92,362.39,23.6,10.54,214.34,48.52,15.33,64.12,,,22.77,66.13,36.59,81.35,44.18,88.96,40.48,46.65
01-10-2009,145.78,64.76,232.51,18.81,9.28,13.53,,71.21,34,26.59,10.71,179.92,86.3,31.12,211.26,68.59,23.24,30.93,83.82,15.11,19.13,10.24,15.09,12.79,10.85,47.93,26.02,393.2,25.78,11.57,237.31,52.94,16.61,68.79,,,24.59,71.24,39.45,86.19,47.64,98.67,43.61,51.04
01-11-2009,138.92,63.91,223.08,17.9,8.66,13.06,,68.62,32.45,25.64,10.46,173.91,84.02,30.3,209.02,66.86,22.31,29.58,81.89,14.27,18.16,9.77,14.6,12.41,10.58,45.97,24.81,376.28,24.56,10.64,223.84,49.8,15.91,66.49,,,24.48,68.96,38.84,81.78,44.25,93.67,43.42,49.21
01-12-2009,149.08,68.79,244.76,19.29,9.3,14.19,,73.68,34.86,27.88,11.41,188.31,90.5,33.21,227.75,72.2,24.32,31.83,88.4,15.5,19.36,10.57,15.78,13.76,11.44,49.41,27.18,411.59,27.04,11.42,243.46,54.07,17.25,73.06,,,25.97,75.89,42.54,89.23,47.27,103.46,46.62,52.94
01-01-2010,151.66,69.35,252.08,19.87,9.68,14.68,,75.24,35.78,28.66,11.83,192.84,92.72,34.05,231.01,73,25,32.25,92.03,15.95,19.67,10.64,16.13,14.13,11.56,50.06,29.44,427.35,27.79,11.69,251.91,55.68,17.72,74.86,,,26.62,78.11,43.6,94.39,49.32,106.97,47.91,55.22
01-02-2010,143.34,68.79,243.36,19.54,9.41,14.15,,72.17,34.13,27.61,11.56,189.82,91.25,33.86,224.98,71.61,24.4,30.4,90.44,15.23,19.21,10.19,15.82,13.59,11.3,48.49,28.39,420.27,27.52,11.05,241.06,53.73,17.06,72.84,,9.73,26.82,76.25,42.67,93.52,48.38,104.84,46.27,52.97
01-03-2010,140.99,68.69,237.14,19.3,9.19,13.86,,71.69,34.34,27.29,11.26,187.7,90.37,33.67,223.39,70.26,24.33,30.3,90.3,15.32,18.97,10.1,15.63,13.54,11.28,47.86,28.37,413.33,27.06,11.03,239.55,52.55,16.79,71.15,,9.62,26.86,75.1,41.81,92.09,47.19,104.84,47.09,52.5
01-04-2010,152.21,73.4,255.14,20.68,9.87,14.87,,76.72,37.14,29.48,12.3,202.4,98.41,36.19,238.33,75.31,26.04,32.17,95.6,16.5,20.11,10.8,16.81,14.55,12.12,51.01,31.37,443.71,28.83,11.7,254.02,55.74,17.83,75.21,,9.97,28.72,80.2,44.05,99.26,49.84,114.47,50.49,55.53
01-05-2010,155.15,76.54,259.9,21.59,10.04,15.27,,78.72,38.24,29.89,12.43,202.92,99,36.93,244.51,76.77,26.53,32.44,96.78,16.94,20.31,10.84,17.1,14.99,12.05,51.33,32.21,457.79,29.35,11.81,256.11,56.33,17.94,78.22,,10.05,29.67,79.88,45.05,100.04,51.68,115.21,51.81,57.04
01-06-2010,145.96,74.88,243.58,20.64,9.2,14.64,,76.56,35.26,28.06,11.39,190.49,97.54,35.17,237.63,76.13,25.53,30.88,94.72,15.59,19.13,10.46,16.54,14.23,11.6,48.74,30.65,435.38,27.71,11.31,245.98,53.17,16.86,76.07,,9.85,28.94,75.72,43.28,95.19,50.17,108.44,50.26,53.2
01-07-2010,153.81,79.51,256.39,22.12,9.72,15.47,10.3,81.15,36.87,29.57,11.97,201.69,103,37.13,251.39,80.78,27.08,32.65,98.75,16.4,20.11,11.16,17.37,14.93,12.16,51.48,32.77,456.76,29.43,12.19,263.53,57.03,17.87,80.5,,10.32,30.77,79.48,45.67,100.56,52.67,113.41,54.65,55.39
01-08-2010,158.74,82.51,265.37,23.22,10.04,15.9,10.37,83.93,38.71,30.88,12.51,208.68,105.8,39.42,262.84,82.64,28.52,33.18,101.16,17.18,20.7,11.41,18.01,15.33,12.08,52.54,34.42,465.91,30.32,12.36,266.64,57.05,18.11,82.57,10.05,10.71,31.11,81.4,45.98,102.06,54.91,115.78,55.2,57.66
01-09-2010,162.26,86.06,276.11,24.9,10.58,16.89,10.72,87.93,39.9,32.36,13.15,219.74,109.72,40.73,276.3,87,29.59,34.53,102.79,17.56,21.65,12.03,18.48,15.91,12.26,53.48,36.2,483.92,31.68,12.73,276.3,59.24,18.34,84.91,10.52,11.5,32.57,83.36,47.34,106.86,57.05,120.67,56.47,59.38
01-10-2010,177.1,92.14,296.86,26.46,11.24,18.07,11.49,95.51,43.03,35.47,14.28,238.43,119.52,43.93,300.52,94.21,31.72,37.76,109.89,19.03,23.12,12.87,20.01,17.28,13.03,57.84,39.41,518.46,33.89,14.15,303.87,63.56,19.95,90.4,11.21,12.28,35.41,89.57,51.59,114.4,62.2,132.66,61.11,64.8
01-11-2010,177.54,94.05,297.35,26.27,11.4,18.16,11.4,95.13,43.03,35.75,14.53,235.08,120.21,44.84,306.97,93.76,31.83,38.06,110.58,18.7,23.21,13.24,20.31,17.57,12.9,58.41,38.83,533.83,34.61,14.02,302.37,63.81,19.98,92.82,10.86,12.45,35.69,89.03,51.56,113.59,62.22,133.9,61.41,64.18
01-12-2010,172.59,90.99,287.12,25.6,10.87,17.39,11.03,93.08,41.53,34.89,13.85,230.13,118.52,43.4,302.13,92.73,30.95,36.93,109.38,18.47,22.64,12.64,19.74,17.28,12.72,57.25,38.03,504.75,33.38,13.61,290.42,60.84,19.43,90.19,10.45,11.97,34.56,86.37,50.22,111.67,60.09,128.27,59.62,62.68
01-01-2011,173.49,90.05,287.77,25.53,10.84,17.59,11.18,93.44,40.89,34.68,13.58,230.41,119.09,43.69,298.5,93.23,30.94,37.33,111.6,18.67,22.5,12.77,19.74,17.4,12.91,57.13,38.4,500.78,33.24,13.95,290.35,61.02,19.45,89.31,10.36,11.83,35.23,85.78,50.94,113.05,60.89,130.46,60.4,63.74
01-02-2011,151.47,80.85,253.45,22.39,9.45,15.81,10.07,83.52,35.55,31.17,11.99,209.52,105.68,39.74,269.28,83.13,27.87,33.42,103.84,16.41,20.02,11.27,17.84,15.6,11.66,50.2,34.01,446.59,29.72,12.51,259.73,53.3,17.04,77.2,9.52,10.92,31.91,74.74,45.92,100,54.64,116.33,55.69,57.69
01-03-2011,150.47,80.19,248.6,22.37,9.42,15.69,10.05,83.21,35.35,31.16,12.03,210.65,105.97,38.87,268.96,84.07,27.59,33.71,104.97,16.7,19.9,11.13,17.89,15.79,11.51,49.15,33.62,439.59,28.96,12.62,257.85,52.8,16.91,75.98,9.4,10.84,31.54,75.42,45.6,100.14,54.8,114.58,54.98,57.13
01-04-2011,158.21,85.09,260.69,23.78,9.86,16.65,10.59,86.29,36.57,33.23,12.84,224.28,111.42,40.68,282.66,87.97,28.91,35.65,109.15,17.82,20.86,11.76,18.75,16.66,12.06,51.52,35.76,461.43,30.46,13.21,270.78,55.62,17.66,78.61,9.84,11.37,33.04,79.75,47.91,105.48,57.32,120.4,58.21,60.09
01-05-2011,157.58,86.54,261.18,24.53,9.77,16.8,10.73,86.93,36.81,33.23,12.96,224.43,112.21,40.81,286.33,88.46,29.23,35.52,109.78,17.67,20.77,11.79,18.83,16.68,12.25,51.52,36.29,466.42,31.05,13.23,272.96,56.07,17.77,81.59,9.98,11.41,34.22,80.61,48.76,107.8,59.32,122.99,60.78,60
01-06-2011,154.04,85.08,253.62,24.6,9.61,16.56,10.55,85.93,36.05,32.71,12.84,222.16,110.55,40.17,280.64,87.08,29.34,35.02,108.24,17.15,20.35,11.64,18.47,16.66,12.31,50.01,35.88,451.77,30.23,12.93,268.79,55.07,17.32,79.33,9.61,10.97,33.86,79.14,47.57,107.3,57.65,118.99,61.19,58.3
01-07-2011,154.58,85.75,253.45,25.89,9.59,16.61,10.74,86.04,36.26,32.73,12.9,222.83,111.83,40.77,281.05,87.72,30.16,35.34,107.84,17.36,20.24,11.7,18.5,16.78,12.51,49.78,36.63,450.89,30.13,13.02,269.23,55.23,17.37,79.76,9.57,10.88,34.12,79.55,46.98,106.95,58.26,116.89,62.83,58.95
01-08-2011,153.41,85.93,253.27,26.03,9.54,16.55,10.63,85.45,36.3,32.37,12.72,223.43,109.87,39.6,277.63,86.3,29.6,34.98,106.97,17.1,20.07,11.62,18.42,16.52,12.71,49,36.75,447.65,30.16,12.8,267.21,54.05,17.05,79.57,9.57,10.99,34.33,79.35,46.98,106.82,57.8,114.99,64.21,59.09
01-09-2011,141.85,81.55,228.51,24.37,8.64,15.32,9.86,78.59,32.77,29.4,11.37,207.14,101.55,36.16,248.36,78.95,27.03,32.64,96.71,15.59,18.23,10.74,16.78,15.13,12.23,44.38,33.56,403.57,26.93,11.55,241.86,49.36,15.31,73.58,8.89,10.15,31.62,73.53,42.83,100.95,53.42,104.06,60.59,51.52
01-10-2011,137.27,80.88,225.85,23.51,8.48,15.08,9.74,77.48,32.25,29.32,11.23,207.23,99.46,35.83,245.41,79.43,26.75,32.27,95.78,15.5,18.15,10.59,16.64,14.99,11.92,43.85,33.38,409.03,26.29,11.38,237.65,48.58,14.94,72.28,8.76,10.1,31.2,72.89,42.02,99.09,52.4,100.66,61.21,50.94
01-11-2011,141.96,82.39,233.94,24.57,8.86,15.54,10.05,80.09,33.37,30.66,11.67,216.57,102.14,36.41,253.73,82.79,27.02,33.37,100.49,16.08,18.79,10.96,17.36,15.66,12.36,45.23,34.51,424.3,27.3,11.92,245.14,50.25,15.68,74.96,8.76,10.34,32.78,75.48,44.03,101.73,54.86,104.58,61.89,53.48
01-12-2011,133.88,78.22,218.41,23.39,8.38,14.51,9.41,75.15,31.39,28.78,10.85,204.29,95.88,34.24,235.85,77.93,25.48,31.99,95.76,15.17,17.62,10.45,16.4,14.87,11.6,43.15,32.3,391.39,25.42,11.08,222.43,46.81,14.61,70,8.28,9.57,31.01,71.25,41.42,97.91,51.78,99.52,58.42,50.15
01-01-2012,124.86,73.11,203.23,21.83,7.97,13.38,8.73,70.03,29.39,26.96,10.19,192.57,90.94,32.35,218.74,73.42,23.95,30.36,88.93,14.09,16.47,9.93,15.29,13.98,10.95,39.47,30.09,363.55,23.28,10.26,207.47,43.79,13.48,66.31,7.55,8.67,29.27,66.02,38.84,94.24,48.39,91.88,56.75,46.81
01-02-2012,141.25,80.47,229.64,23.64,8.69,15.44,9.78,77.41,32.49,30.45,11.48,211.36,99.72,35.47,250.95,82.79,25.97,33.31,102.34,16.4,18.05,10.94,17.37,15.66,12.02,45.42,34.28,418.01,26.79,11.78,244.09,49.16,15.36,73.42,8.3,9.76,32.3,74.09,44.02,101.01,52.91,108.97,61.16,53.95
01-03-2012,143.38,85.01,235.43,24.28,8.91,16.02,9.78,78.98,32.57,31.18,11.95,219.13,104.85,36.89,262.21,85.61,27.42,34.32,106.18,16.83,18.58,11.15,18.05,16.14,12.46,47.64,35.94,431.26,27.73,12.32,252.21,51.31,16.07,76.73,8.65,10.21,34.12,77.46,47,105.97,53.45,112.46,64.66,56.33
01-04-2012,141.39,86.12,236.56,25.07,8.8,15.9,9.7,77.98,32.57,30.89,12.1,220.42,105.56,36.9,261.67,85.45,27.68,34.37,106.13,16.65,18.74,11.2,18.14,16.18,12.66,47.67,36.42,433.82,27.67,12.44,254.03,51.63,16.43,77.15,8.43,9.97,34.43,78.58,46.48,106.24,53.2,110.12,67.48,56.09
01-05-2012,140.73,84.87,234.51,25.65,8.61,15.92,9.36,76.25,32.48,30.51,12.09,216.57,104.83,36.34,259.51,83.67,26.66,34.4,104.09,16.24,18.63,11.18,18.05,16.03,12.14,47.99,37.13,434.6,27.8,12.4,252.08,51.61,16.34,77.05,8.11,9.6,33.89,77.55,44.99,101.89,52.87,108.19,67.98,55.48
01-06-2012,128.23,78.3,216.94,24.11,8.01,14.67,8.62,70.91,29.78,28.26,11.32,203.34,97.84,33.33,239.44,78.46,24.93,32.23,99.05,15.21,17.41,10.41,17.14,14.99,11.38,44.52,35,398.64,25.68,11.63,231.29,48.18,15.12,72.22,7.57,9,31.84,73.25,41.4,96.85,49.43,99.39,64.49,52.36
01-07-2012,138.54,83.95,233.96,25.35,8.69,15.36,9.14,75.96,32.53,30.1,11.94,217.2,105.23,35.59,257.76,84,26.01,34.56,105.23,16.23,18.8,11.35,18.32,16,12.18,47.73,37.26,421.83,27.57,12.48,249.08,50.58,16.13,76.87,8.16,9.68,33.92,78.21,43.99,102.45,53.8,106.78,66.64,56.62
01-08-2012,138.83,82.79,235.6,26.19,8.73,15.34,9.21,76.61,32.95,30.66,12.16,218.76,104.93,34.57,255.74,83.45,25.64,34.12,105.07,16.3,19.12,11.38,18.58,16.08,12.01,48.08,37.65,418.3,27.92,12.53,247.57,50.8,16.38,78.02,7.93,9.38,33.21,78.99,44.21,104.14,53.38,107.85,66.21,55.93
01-09-2012,138.2,82.26,236.01,26.62,8.69,15.38,9.2,76.89,32.99,30.7,12.27,219.4,104.9,33.98,247.69,83.47,25.27,34.02,104.57,16.36,19.3,11.39,18.78,16.22,12.27,48.49,37.66,419.4,27.97,12.57,241.56,50.75,16.61,78.32,7.86,9.19,33.43,80.73,44.46,108.85,52.87,107.1,67.59,55.89
01-10-2012,151.96,89.89,259.93,28.81,9.57,16.74,10.08,83.89,35.5,33.18,13.39,236.45,114.16,38,278.46,91.49,27.82,36.98,111.9,17.97,20.8,12.38,20.05,17.78,13.2,52.95,41.88,467.88,31.74,13.81,267.93,55.09,17.66,83.9,8.4,9.9,35.87,85.1,48.55,115.36,59.29,115.84,70.41,61.04
01-11-2012,149.3,88.82,258.91,29.06,9.5,16.59,10.1,83.68,35.18,33.28,13.44,236.43,111.66,37.61,274.16,90,27.39,36,111.32,17.98,20.72,12.33,20.17,17.61,13.24,52.74,41.78,465.63,31.49,13.72,260.2,54.95,17.56,83.18,8.18,9.59,35.07,83.96,47.93,115.2,58.81,116.62,70.47,60.22
01-12-2012,158.17,92.49,269.01,30.9,9.9,17.47,10.7,88.36,36.54,35.19,14.27,249.24,115.11,38.55,284.39,92.5,27.87,37.07,114.59,18.94,22.31,12.83,20.98,18.28,13.53,56.36,43.29,494.99,33.39,14.24,264.06,57.7,18.16,86.41,8.22,9.73,36.78,88.65,49.89,118.12,62.12,119.28,72.42,63.55
01-01-2013,163.79,95.47,278.57,32.16,10.11,18.05,11.25,91.56,36.87,35.69,14.62,253.69,117.72,40.3,296.88,94.76,28.96,38.27,117.08,19.07,22.8,13.38,21.54,18.81,13.69,58.21,44.69,505.38,34.33,14.58,272.01,59.09,18.82,88.62,8.39,9.98,37.49,88.78,50.73,118.88,64.02,125.93,74.6,63.04
01-02-2013,159.91,93.75,276.57,31.73,10.21,17.66,11.06,91.18,37.12,36.02,14.77,255.28,119.6,39.55,298.9,96.36,28.67,37.75,118.9,19.38,22.77,13.19,21.68,18.87,13.19,57.79,43.82,496.16,33.42,14.55,269.49,60.34,18.84,87.08,8.53,10.07,37.72,88.71,50.27,120.57,63.7,127.19,71.95,64.42
01-03-2013,149.62,88.65,258.27,29.92,9.43,16.25,10.22,85.16,35.24,33.99,14.02,241.04,113.33,36.16,275.81,89.29,26.42,35.6,113.37,19.24,21.43,12.49,20.37,17.84,12.68,53.62,41.59,453.56,30.62,13.8,247.01,57.97,17.82,83.03,7.87,9.18,35.94,85.26,47.21,116.95,58.63,118.73,68.88,62.97
01-04-2013,146.98,86.63,254.71,29.58,9.23,16.03,10.15,84.4,35.24,33.66,13.91,239.04,113.46,35.36,272.43,88.42,26.07,34.93,111.72,19.56,21.14,12.23,20.24,17.64,12.54,52.97,41.35,443.71,29.77,13.61,238.28,56.86,17.71,82.44,7.65,8.94,35.16,84.93,46.02,117.07,57.39,117.02,68.19,63.53
01-05-2013,152.13,88.68,264.73,31.63,9.69,16.62,10.29,87.2,36.76,33.92,14.1,243.31,114.29,36.85,282.15,90.87,26.54,35.82,113.71,19.11,21.77,12.77,20.91,18.21,12.87,54.88,42.3,452.8,30.87,14.08,259.56,57.74,18.25,85.17,8.03,9.4,35.69,87.69,46.77,116.98,59.64,121.77,72.63,63.37
01-06-2013,152.83,87.9,261.79,32.86,9.53,16.61,10.24,88.49,37.6,33.95,14.31,246.46,115.44,35.89,281.61,88.83,25.7,36.57,112.41,19.58,21.49,12.96,21.07,18.31,13.35,55.32,41.45,449.99,31.16,13.88,255.03,57.89,18.44,86.59,7.8,9.05,35.78,88.53,46.38,119.59,58.97,122.31,76.21,64.07
01-07-2013,150.04,84.25,256.46,32.01,9.25,16.26,10.12,87.81,37.05,33.24,13.96,242.3,114.43,34.11,272.43,86.6,24.66,35.65,110.37,19.98,21.13,12.75,20.62,17.92,13.04,54.01,40.47,438.14,30.41,13.56,250.25,55.73,17.85,84.05,7.51,8.73,35.03,87.56,44.43,120.18,57.91,118.03,74.26,62.64
01-08-2013,144.05,78.66,242.15,30.67,8.44,15.39,9.74,84.64,36.12,32.42,13.62,234.56,110.32,30.97,250.8,80.41,22.87,34.08,108.53,21.78,20.82,12.43,19.67,17.44,12.77,51.05,37.73,399.74,28.27,12.72,224.78,51.89,17,81.12,6.52,7.52,33.65,85.82,42.12,119.79,54.78,108.68,71.85,61.93
01-09-2013,141.35,76.73,238.72,28.53,8.43,14.71,9.25,82.06,34.63,30.93,12.97,223.47,105.28,30.46,242.31,78.05,22.39,33.26,112.27,22.5,20.26,12.02,18.94,16.88,12.41,49.78,37.27,404.62,26.73,12.57,215.68,49.51,16.33,77.9,6.16,7.13,33.28,83.17,41.05,119.81,53.04,102.85,69.33,61.53
01-10-2013,149.15,81.26,255.68,31.05,8.97,15.43,9.77,86.9,36.59,33.01,14.14,237.46,112.65,32.38,257.91,83.01,23.8,35.1,118.13,23.4,21.29,12.64,20.2,17.8,12.92,53.71,38.81,423.89,28.66,13.21,228.86,52.1,17.31,83.8,6.69,7.67,35.19,87.96,44.55,124.05,57.07,108.44,73.43,63.91
01-11-2013,165.16,87.98,281.36,33.41,9.77,17.14,10.72,95.05,39.71,36.66,15.4,258.65,124.14,36.82,289.54,90.97,27.15,38.88,129.34,25.08,22.87,13.86,21.82,19.62,13.82,59.54,42.21,464.58,31.07,14.35,252.92,56.16,18.86,91.94,7.19,8.23,37.76,95.13,48.47,130.61,62.84,120.41,76.94,70.32
01-12-2013,164.64,87.9,283,32.82,9.77,16.9,10.46,93.36,39.01,36.67,15.28,257.88,124.14,37,291.44,90.16,27.46,39.06,129.92,25.73,22.56,13.57,21.7,19.61,13.78,59.27,43.21,467.4,31.24,14.24,254.62,56.22,18.84,92.36,7.1,8.05,37.27,93.1,47.85,131.34,63.21,120.17,77.78,69.6
01-01-2014,174.12,91.77,296.84,33.49,10.23,17.89,11.06,96.62,39.58,38.11,15.95,266.75,128.97,38.89,304.88,92.64,28.6,41.03,135.33,27.21,23.16,14.07,22.68,20.35,14.12,62.6,46.35,491.9,32.94,15.07,269.31,57.81,19.62,97.1,7.26,8.27,39.57,96.04,51.34,137.68,64.83,124.2,82.44,74.16
